Date,Bullish,Neutral,Bearish,Total,Bullish 8-Week Mov Avg,Bull-Bear Spread,Bullish Average,Bullish Average + St. Dev,Bullish Average - St. Dev,S&P 500 Weekly High,S&P 500 Weekly Low,S&P 500 Weekly Close
1998-10-31,0.43,0.36,0.21,1.0,0.3175,0.22,0.384907436629,0.48829287048,0.281522002778,1103.78,1059.66,1098.67
1998-09-30,0.34,0.38,0.28,1.0,0.28125,0.06,0.384907436629,0.48829287048,0.281522002778,1066.11,993.82,1044.75
1998-08-31,0.23,0.32,0.45,1.0,0.32125,-0.22,0.384907436629,0.48829287048,0.281522002778,1106.64,1021.04,1027.04
1998-07-31,0.44,0.36,0.2,1.0,0.33625,0.24,0.384907436629,0.48829287048,0.281522002778,1147.27,1114.3,1120.67
1998-06-30,0.28,0.44,0.28,1.0,0.32125,0.0,0.384907436629,0.48829287048,0.281522002778,1142.04,1099.42,1133.2
1998-05-31,0.34,0.4,0.26,1.0,0.4075,0.08,0.384907436629,0.48829287048,0.281522002778,1116.79,1074.39,1090.82
1998-04-30,0.44,0.31,0.25,1.0,0.44125,0.19,0.384907436629,0.48829287048,0.281522002778,1121.02,1076.7,1121.0
1998-03-31,0.45,0.35,0.2,1.0,0.44,0.25,0.384907436629,0.48829287048,0.281522002778,1113.07,1090.02,1093.55
1998-02-28,0.53,0.33,0.14,1.0,0.39875,0.39,0.384907436629,0.48829287048,0.281522002778,1051.66,1028.89,1049.34
1998-01-31,0.38,0.42,0.2,1.0,0.3875,0.18,0.384907436629,0.48829287048,0.281522002778,992.65,954.24,980.28
1997-12-31,0.34,0.35,0.31,1.0,0.41875,0.03,0.384907436629,0.48829287048,0.281522002778,975.02,936.46,975.04
1997-11-30,0.4,0.4,0.2,1.0,0.4125,0.2,0.384907436629,0.48829287048,0.281522002778,963.09,944.71,955.4
1997-10-31,0.41,0.36,0.23,1.0,0.4075,0.18,0.384907436629,0.48829287048,0.281522002778,941.64,855.27,914.62
1997-09-30,0.39,0.42,0.19,1.0,0.44125,0.2,0.384907436629,0.48829287048,0.281522002778,960.59,937.38,945.22
1997-08-31,0.5,0.28,0.22,1.0,0.49875,0.28,0.384907436629,0.48829287048,0.281522002778,920.16,899.47,899.47
1997-07-31,0.48,0.26,0.26,1.0,0.51125,0.22,0.384907436629,0.48829287048,0.281522002778,955.35,932.56,947.14
1997-06-30,0.52,0.25,0.23,1.0,0.45375,0.29,0.384907436629,0.48829287048,0.281522002778,902.09,878.43,887.3
1997-05-31,0.4,0.4,0.2,1.0,0.32875,0.2,0.384907436629,0.48829287048,0.281522002778,851.87,831.87,848.28
1997-04-30,0.28,0.4,0.32,1.0,0.3175,-0.04,0.384907436629,0.48829287048,0.281522002778,779.89,756.38,765.37
1997-03-31,0.27,0.4,0.33,1.0,0.42375,-0.06,0.384907436629,0.48829287048,0.281522002778,790.89,773.88,773.88
1997-02-28,0.63,0.22,0.15,1.0,0.45625,0.48,0.384907436629,0.48829287048,0.281522002778,812.85,788.5,790.82
1997-01-31,0.51,0.33,0.16,1.0,0.39875,0.35,0.384907436629,0.48829287048,0.281522002778,791.86,761.75,786.16
1996-12-31,0.37,0.33,0.3,1.0,0.38625,0.07,0.384907436629,0.48829287048,0.281522002778,756.79,746.92,756.79
1996-11-30,0.52,0.27,0.21,1.0,0.3925,0.31,0.384907436629,0.48829287048,0.281522002778,762.12,741.08,755.0
1996-10-31,0.37,0.29,0.34,1.0,0.355,0.03,0.384907436629,0.48829287048,0.281522002778,708.6,696.22,703.77
1996-09-30,0.34,0.39,0.27,1.0,0.30375,0.07,0.384907436629,0.48829287048,0.281522002778,690.88,681.01,686.19
1996-08-31,0.28,0.43,0.29,1.0,0.3175,-0.01,0.384907436629,0.48829287048,0.281522002778,670.68,650.52,651.99
1996-07-31,0.3,0.32,0.38,1.0,0.38875,-0.08,0.384907436629,0.48829287048,0.281522002778,638.73,616.43,635.9
1996-06-30,0.42,0.41,0.17,1.0,0.46875,0.25,0.384907436629,0.48829287048,0.281522002778,672.68,661.56,670.63
1996-05-31,0.61,0.29,0.1,1.0,0.43375,0.51,0.384907436629,0.48829287048,0.281522002778,679.98,664.56,669.12
